trial,samples,filter_executed,role,source_sbox,known_mask,known_value,actual_word,known_bits,consensus_correct
6,192,1,2,2,0x0,0x0,0x8,0,1
6,192,1,3,3,0x0,0x0,0x8,0,1
6,192,1,4,4,0x0,0x0,0x4,0,1
6,256,1,0,7,0xF,0xC,0xC,4,1
6,256,1,1,0,0xF,0x5,0x5,4,1
6,256,1,2,2,0x3,0x0,0x8,2,1
6,256,1,3,3,0xF,0x8,0x8,4,1
6,256,1,4,4,0xF,0x4,0x4,4,1
6,320,1,0,7,0xF,0xC,0xC,4,1
6,320,1,1,0,0xF,0x5,0x5,4,1
6,320,1,2,2,0x3,0x0,0x8,2,1
6,320,1,3,3,0xF,0x8,0x8,4,1
6,320,1,4,4,0xF,0x4,0x4,4,1
6,384,1,0,7,0xF,0xC,0xC,4,1
6,384,1,1,0,0xF,0x5,0x5,4,1
6,384,1,2,2,0x3,0x0,0x8,2,1
6,384,1,3,3,0xF,0x8,0x8,4,1
6,384,1,4,4,0xF,0x4,0x4,4,1
6,512,1,0,7,0xF,0xC,0xC,4,1
6,512,1,1,0,0xF,0x5,0x5,4,1
6,512,1,2,2,0x3,0x0,0x8,2,1
6,512,1,3,3,0xF,0x8,0x8,4,1
6,512,1,4,4,0xF,0x4,0x4,4,1
7,64,0,0,255,0x0,0x0,0xD,0,0
7,64,0,1,255,0x0,0x0,0x6,0,0
7,64,0,2,255,0x0,0x0,0x5,0,0
7,64,0,3,255,0x0,0x0,0x7,0,0
7,64,0,4,255,0x0,0x0,0x7,0,0
7,96,1,0,2,0x0,0x0,0xD,0,1
7,96,1,1,3,0x0,0x0,0x6,0,1
7,96,1,2,5,0x0,0x0,0x5,0,1
7,96,1,3,6,0x0,0x0,0x7,0,1
7,96,1,4,7,0x0,0x0,0x7,0,1
7,128,1,0,2,0x0,0x0,0xD,0,1
7,128,1,1,3,0x0,0x0,0x6,0,1
7,128,1,2,5,0x0,0x0,0x5,0,1
7,128,1,3,6,0x0,0x0,0x7,0,1
7,128,1,4,7,0x0,0x0,0x7,0,1
7,160,1,0,2,0x0,0x0,0xD,0,1
7,160,1,1,3,0x0,0x0,0x6,0,1
7,160,1,2,5,0x0,0x0,0x5,0,1
7,160,1,3,6,0x0,0x0,0x7,0,1
7,160,1,4,7,0x0,0x0,0x7,0,1
7,192,1,0,2,0x0,0x0,0xD,0,1
7,192,1,1,3,0x0,0x0,0x6,0,1
7,192,1,2,5,0x0,0x0,0x5,0,1
7,192,1,3,6,0x0,0x0,0x7,0,1
7,192,1,4,7,0x0,0x0,0x7,0,1
7,256,1,0,2,0xF,0xD,0xD,4,1
7,256,1,1,3,0xF,0x6,0x6,4,1
7,256,1,2,5,0x3,0x1,0x5,2,1
7,256,1,3,6,0xF,0x7,0x7,4,1
7,256,1,4,7,0xF,0x7,0x7,4,1
7,320,1,0,2,0xF,0xD,0xD,4,1
7,320,1,1,3,0xF,0x6,0x6,4,1
7,320,1,2,5,0x3,0x1,0x5,2,1
7,320,1,3,6,0xF,0x7,0x7,4,1
7,320,1,4,7,0xF,0x7,0x7,4,1
7,384,1,0,2,0xF,0xD,0xD,4,1
7,384,1,1,3,0xF,0x6,0x6,4,1
7,384,1,2,5,0x3,0x1,0x5,2,1
7,384,1,3,6,0xF,0x7,0x7,4,1
7,384,1,4,7,0xF,0x7,0x7,4,1
7,512,1,0,2,0xF,0xD,0xD,4,1
7,512,1,1,3,0xF,0x6,0x6,4,1
7,512,1,2,5,0x3,0x1,0x5,2,1
7,512,1,3,6,0xF,0x7,0x7,4,1
7,512,1,4,7,0xF,0x7,0x7,4,1
8,64,0,0,255,0x0,0x0,0xB,0,0
8,64,0,1,255,0x0,0x0,0x1,0,0
8,64,0,2,255,0x0,0x0,0xE,0,0
8,64,0,3,255,0x0,0x0,0x3,0,0
8,64,0,4,255,0x0,0x0,0xB,0,0
8,96,1,0,5,0x0,0x0,0xB,0,1
8,96,1,1,6,0x0,0x0,0x1,0,1
8,96,1,2,0,0x0,0x0,0xE,0,1
8,96,1,3,1,0x0,0x0,0x3,0,1
8,96,1,4,2,0x0,0x0,0xB,0,1
8,128,1,0,5,0x0,0x0,0xB,0,1
8,128,1,1,6,0x0,0x0,0x1,0,1
8,128,1,2,0,0x0,0x0,0xE,0,1
8,128,1,3,1,0x0,0x0,0x3,0,1
8,128,1,4,2,0x0,0x0,0xB,0,1
8,160,1,0,5,0x0,0x0,0xB,0,1
8,160,1,1,6,0x0,0x0,0x1,0,1
8,160,1,2,0,0x0,0x0,0xE,0,1
8,160,1,3,1,0x0,0x0,0x3,0,1
8,160,1,4,2,0x0,0x0,0xB,0,1
8,192,1,0,5,0x0,0x0,0xB,0,1
8,192,1,1,6,0x0,0x0,0x1,0,1
8,192,1,2,0,0x0,0x0,0xE,0,1
8,192,1,3,1,0x0,0x0,0x3,0,1
8,192,1,4,2,0x0,0x0,0xB,0,1
8,256,1,0,5,0xF,0xB,0xB,4,1
8,256,1,1,6,0xF,0x1,0x1,4,1
8,256,1,2,0,0x3,0x2,0xE,2,1
8,256,1,3,1,0xF,0x3,0x3,4,1
8,256,1,4,2,0xF,0xB,0xB,4,1
8,320,1,0,5,0xF,0xB,0xB,4,1
8,320,1,1,6,0xF,0x1,0x1,4,1
8,320,1,2,0,0x3,0x2,0xE,2,1
8,320,1,3,1,0xF,0x3,0x3,4,1
8,320,1,4,2,0xF,0xB,0xB,4,1
8,384,1,0,5,0xF,0xB,0xB,4,1
8,384,1,1,6,0xF,0x1,0x1,4,1
8,384,1,2,0,0x3,0x2,0xE,2,1
8,384,1,3,1,0xF,0x3,0x3,4,1
8,384,1,4,2,0xF,0xB,0xB,4,1
8,512,1,0,5,0xF,0xB,0xB,4,1
8,512,1,1,6,0xF,0x1,0x1,4,1
8,512,1,2,0,0x3,0x2,0xE,2,1
8,512,1,3,1,0xF,0x3,0x3,4,1
8,512,1,4,2,0xF,0xB,0xB,4,1
9,64,0,0,255,0x0,0x0,0x4,0,0
9,64,0,1,255,0x0,0x0,0x0,0,0
9,64,0,2,255,0x0,0x0,0xD,0,0
9,64,0,3,255,0x0,0x0,0x6,0,0
9,64,0,4,255,0x0,0x0,0xF,0,0
9,96,1,0,2,0x0,0x0,0x4,0,1
9,96,1,1,3,0x0,0x0,0x0,0,1
9,96,1,2,5,0x0,0x0,0xD,0,1
9,96,1,3,6,0x0,0x0,0x6,0,1
9,96,1,4,7,0x0,0x0,0xF,0,1
9,128,1,0,2,0x0,0x0,0x4,0,1
9,128,1,1,3,0x0,0x0,0x0,0,1
9,128,1,2,5,0x0,0x0,0xD,0,1
9,128,1,3,6,0x0,0x0,0x6,0,1
9,128,1,4,7,0x0,0x0,0xF,0,1
9,160,1,0,2,0x0,0x0,0x4,0,1
9,160,1,1,3,0x0,0x0,0x0,0,1
9,160,1,2,5,0x0,0x0,0xD,0,1
9,160,1,3,6,0x0,0x0,0x6,0,1
9,160,1,4,7,0x0,0x0,0xF,0,1
9,192,1,0,2,0x0,0x0,0x4,0,1
9,192,1,1,3,0x0,0x0,0x0,0,1
9,192,1,2,5,0x0,0x0,0xD,0,1
9,192,1,3,6,0x0,0x0,0x6,0,1
9,192,1,4,7,0x0,0x0,0xF,0,1
9,256,1,0,2,0xF,0x4,0x4,4,1
