trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_missing_words,total_queries,mean_queries_per_sbox,min_queries_per_sbox,max_queries_per_sbox,aggregate_empirical_rate,theoretical_rate,absolute_rate_error
4,128,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0xD1D1E22F,1,8,8,6271,783.875000,703,823,0.163291341094,0.164132936375,0.000841595281
4,160,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0xD1D1E22F,1,8,8,7854,981.750000,888,1051,0.162974280621,0.164132936375,0.001158655754
4,192,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0xD1D1E22F,1,8,8,9443,1180.375000,1082,1248,0.162660171556,0.164132936375,0.001472764820
4,256,0x5343454E45525931,0xB6F54429D299354C,A74A52ADD1F204241A37,0x4,0xD1D1E22F,0xD1D1E22F,1,8,8,12606,1575.750000,1438,1661,0.162462319530,0.164132936375,0.001670616845
5,16,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,845,105.625000,74,129,0.151479289941,0.164132936375,0.012653646435
5,24,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,1183,147.875000,116,192,0.162299239222,0.164132936375,0.001833697153
5,32,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,1605,200.625000,155,250,0.159501557632,0.164132936375,0.004631378743
5,40,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,1955,244.375000,210,298,0.163682864450,0.164132936375,0.000450071925
5,48,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,2367,295.875000,257,387,0.162230671736,0.164132936375,0.001902264639
5,56,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,2803,350.375000,298,436,0.159828754905,0.164132936375,0.004304181470
5,64,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x00000000,0,0,0,3201,400.125000,341,474,0.159950015620,0.164132936375,0.004182920755
5,72,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,3591,448.875000,393,537,0.160401002506,0.164132936375,0.003731933869
5,80,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,3962,495.250000,420,568,0.161534578496,0.164132936375,0.002598357880
5,96,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,4794,599.250000,538,647,0.160200250313,0.164132936375,0.003932686062
5,112,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,5561,695.125000,616,766,0.161122100342,0.164132936375,0.003010836034
