trial,samples_per_sbox,sbox,trial_seed,known_delta,query_count,empirical_rate,missing_count,missing_value,recovered_word,actual_word,unique_missing,word_success
1,24,5,0xAD18F677B9DCF542,0x2,160,0.150000000000,0,NA,0x0,0x2,0,0
1,24,6,0xAD18F677B9DCF542,0x2,170,0.141176470588,0,NA,0x0,0x6,0,0
1,24,7,0xAD18F677B9DCF542,0x2,137,0.175182481752,0,NA,0x0,0xB,0,0
1,32,0,0xAD18F677B9DCF542,0x2,178,0.179775280899,2,NA,0x0,0x8,0,0
1,32,1,0xAD18F677B9DCF542,0x2,182,0.175824175824,0,NA,0x0,0xC,0,0
1,32,2,0xAD18F677B9DCF542,0x2,240,0.133333333333,0,NA,0x0,0xE,0,0
1,32,3,0xAD18F677B9DCF542,0x2,181,0.176795580110,0,NA,0x0,0xA,0,0
1,32,4,0xAD18F677B9DCF542,0x2,147,0.217687074830,0,NA,0x0,0xB,0,0
1,32,5,0xAD18F677B9DCF542,0x2,209,0.153110047847,0,NA,0x0,0x2,0,0
1,32,6,0xAD18F677B9DCF542,0x2,244,0.131147540984,0,NA,0x0,0x6,0,0
1,32,7,0xAD18F677B9DCF542,0x2,179,0.178770949721,0,NA,0x0,0xB,0,0
1,40,0,0xAD18F677B9DCF542,0x2,209,0.191387559809,1,0xA,0x8,0x8,1,1
1,40,1,0xAD18F677B9DCF542,0x2,224,0.178571428571,3,NA,0x0,0xC,0,0
1,40,2,0xAD18F677B9DCF542,0x2,266,0.150375939850,0,NA,0x0,0xE,0,0
1,40,3,0xAD18F677B9DCF542,0x2,213,0.187793427230,0,NA,0x0,0xA,0,0
1,40,4,0xAD18F677B9DCF542,0x2,179,0.223463687151,0,NA,0x0,0xB,0,0
1,40,5,0xAD18F677B9DCF542,0x2,255,0.156862745098,0,NA,0x0,0x2,0,0
1,40,6,0xAD18F677B9DCF542,0x2,289,0.138408304498,0,NA,0x0,0x6,0,0
1,40,7,0xAD18F677B9DCF542,0x2,220,0.181818181818,0,NA,0x0,0xB,0,0
1,48,0,0xAD18F677B9DCF542,0x2,252,0.190476190476,1,0xA,0x8,0x8,1,1
1,48,1,0xAD18F677B9DCF542,0x2,294,0.163265306122,2,NA,0x0,0xC,0,0
1,48,2,0xAD18F677B9DCF542,0x2,306,0.156862745098,0,NA,0x0,0xE,0,0
1,48,3,0xAD18F677B9DCF542,0x2,326,0.147239263804,0,NA,0x0,0xA,0,0
1,48,4,0xAD18F677B9DCF542,0x2,227,0.211453744493,0,NA,0x0,0xB,0,0
1,48,5,0xAD18F677B9DCF542,0x2,318,0.150943396226,0,NA,0x0,0x2,0,0
1,48,6,0xAD18F677B9DCF542,0x2,364,0.131868131868,0,NA,0x0,0x6,0,0
1,48,7,0xAD18F677B9DCF542,0x2,252,0.190476190476,0,NA,0x0,0xB,0,0
