trial,samples,master_seed,trial_seed,key,secret_sbox,secret_delta,actual_sk28,actual_active_key,expected_public_missing,total_queries,empirical_rate,theoretical_rate,global_missing_count,detected_sbox,detected_missing,localization_success,filter_executed,tested_candidates,candidate_sample_evaluations,surviving_candidates,actual_candidate_present,recovered_active_bits,consensus_correct,delta_recovered,recovered_delta,delta_success,target_outcome_success,estimated_filter_cpu_seconds
8,384,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,2345,0.163752665245,0.164132936375,1,6,0x5,1,1,1048576,56327104,4,1,18,1,1,0x4,1,1,0.067744
8,512,0x5343454E45525932,0x3130D6A3B78EA6D4,011EC248FBEC32858E13,6,0x4,0x7EAF012D,0xB3E1B,0x5,3160,0.162025316456,0.164132936375,1,6,0x5,1,1,1048576,56327616,4,1,18,1,1,0x4,1,1,0.067745
9,64,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,364,0.175824175824,0.164132936375,3,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
9,96,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,642,0.149532710280,0.164132936375,1,3,0xF,1,1,1048576,56308012,33396,1,0,1,0,NA,0,0,0.064712
9,128,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,829,0.154402895054,0.164132936375,1,3,0xF,1,1,1048576,56825172,4468,1,0,1,0,NA,0,0,0.065306
9,160,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,1032,0.155038759690,0.164132936375,1,3,0xF,1,1,1048576,56884788,648,1,0,1,0,NA,0,0,0.065375
9,192,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,1264,0.151898734177,0.164132936375,1,3,0xF,1,1,1048576,56895256,104,1,0,1,0,NA,0,0,0.065387
9,256,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,1646,0.155528554070,0.164132936375,1,3,0xF,1,1,1048576,56896920,4,1,18,1,1,0xF,1,1,0.065389
9,320,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,1996,0.160320641283,0.164132936375,1,3,0xF,1,1,1048576,56897176,4,1,18,1,1,0xF,1,1,0.065389
9,384,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,2367,0.162230671736,0.164132936375,1,3,0xF,1,1,1048576,56897432,4,1,18,1,1,0xF,1,1,0.065389
9,512,0x5343454E45525932,0xE007F030802BD312,725A59532F40B8B8964D,3,0xF,0xB1D2E6A0,0xF6D04,0xF,3186,0.160703075957,0.164132936375,1,3,0xF,1,1,1048576,56897944,4,1,18,1,1,0xF,1,1,0.065390
10,64,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,404,0.158415841584,0.164132936375,1,2,0x3,1,1,1048576,52642620,244048,1,0,1,0,NA,0,0,0.061083
10,96,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,609,0.157635467980,0.164132936375,1,2,0x3,1,1,1048576,56037780,27068,1,0,1,0,NA,0,0,0.065022
10,128,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,756,0.169312169312,0.164132936375,1,2,0x3,1,1,1048576,56448520,4264,1,0,1,0,NA,0,0,0.065499
10,160,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,907,0.176405733186,0.164132936375,1,2,0x3,1,1,1048576,56514508,740,1,0,1,0,NA,0,0,0.065575
10,192,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,1108,0.173285198556,0.164132936375,1,2,0x3,1,1,1048576,56526124,124,1,0,1,0,NA,0,0,0.065589
10,256,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,1462,0.175102599179,0.164132936375,1,2,0x3,1,1,1048576,56528504,8,1,8,1,0,NA,0,0,0.065592
10,320,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,1822,0.175631174533,0.164132936375,1,2,0x3,1,1,1048576,56528836,4,1,18,1,1,0x4,1,1,0.065592
10,384,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,2112,0.181818181818,0.164132936375,1,2,0x3,1,1,1048576,56529092,4,1,18,1,1,0x4,1,1,0.065592
10,512,0x5343454E45525932,0xACB9FA8FB4C0EE1E,1D05D8987E3A15EC6C6A,2,0x4,0x5E3D448A,0x52379,0x3,2919,0.175402535115,0.164132936375,1,2,0x3,1,1,1048576,56529604,4,1,18,1,1,0x4,1,1,0.065593
11,64,0x5343454E45525932,0xBFFF1F7D580EA010,70ACA48331126C0AAD82,2,0xA,0x60A402C3,0x9302C,0x8,296,0.216216216216,0.164132936375,2,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.000000
