trial,samples_per_sbox,sbox,trial_seed,known_delta,minimum_value,minimum_count,second_minimum_count,minimum_gap,minimum_multiplicity,recovered_word,actual_word,unique_minimum,word_success,internal_ineffective,internal_infected,empirical_ineffective_rate
1,4096,2,0x588258597E0BAF4E,0xC,0x5,207,221,14,1,0x9,0x9,1,1,723,3373,0.176513671875
1,4096,3,0x588258597E0BAF4E,0xC,0x6,206,235,29,1,0xA,0xA,1,1,607,3489,0.148193359375
1,4096,4,0x588258597E0BAF4E,0xC,0x8,237,244,7,1,0x4,0x4,1,1,719,3377,0.175537109375
1,4096,5,0x588258597E0BAF4E,0xC,0x0,207,226,19,1,0xC,0xC,1,1,667,3429,0.162841796875
1,4096,6,0x588258597E0BAF4E,0xC,0x9,224,239,15,1,0x5,0x5,1,1,676,3420,0.165039062500
1,4096,7,0x588258597E0BAF4E,0xC,0x7,202,236,34,1,0xB,0xB,1,1,672,3424,0.164062500000
1,6144,0,0x588258597E0BAF4E,0xC,0xC,349,358,9,1,0x0,0x8,1,0,1024,5120,0.166666666667
1,6144,1,0x588258597E0BAF4E,0xC,0x4,318,365,47,1,0x8,0x8,1,1,1024,5120,0.166666666667
1,6144,2,0x588258597E0BAF4E,0xC,0x5,297,356,59,1,0x9,0x9,1,1,1047,5097,0.170410156250
1,6144,3,0x588258597E0BAF4E,0xC,0x6,315,344,29,1,0xA,0xA,1,1,952,5192,0.154947916667
1,6144,4,0x588258597E0BAF4E,0xC,0x8,335,376,41,1,0x4,0x4,1,1,1064,5080,0.173177083333
1,6144,5,0x588258597E0BAF4E,0xC,0x0,303,361,58,1,0xC,0xC,1,1,1016,5128,0.165364583333
1,6144,6,0x588258597E0BAF4E,0xC,0x9,330,365,35,1,0x5,0x5,1,1,1000,5144,0.162760416667
1,6144,7,0x588258597E0BAF4E,0xC,0x7,315,352,37,1,0xB,0xB,1,1,1019,5125,0.165852864583
1,8192,0,0x588258597E0BAF4E,0xC,0x4,461,464,3,1,0x8,0x8,1,1,1358,6834,0.165771484375
1,8192,1,0x588258597E0BAF4E,0xC,0x4,428,482,54,1,0x8,0x8,1,1,1357,6835,0.165649414062
1,8192,2,0x588258597E0BAF4E,0xC,0x5,389,495,106,1,0x9,0x9,1,1,1380,6812,0.168457031250
1,8192,3,0x588258597E0BAF4E,0xC,0x6,416,471,55,1,0xA,0xA,1,1,1298,6894,0.158447265625
1,8192,4,0x588258597E0BAF4E,0xC,0x8,433,488,55,1,0x4,0x4,1,1,1365,6827,0.166625976562
1,8192,5,0x588258597E0BAF4E,0xC,0x0,415,476,61,1,0xC,0xC,1,1,1344,6848,0.164062500000
1,8192,6,0x588258597E0BAF4E,0xC,0x9,428,487,59,1,0x5,0x5,1,1,1326,6866,0.161865234375
1,8192,7,0x588258597E0BAF4E,0xC,0x7,417,463,46,1,0xB,0xB,1,1,1373,6819,0.167602539062
1,12288,0,0x588258597E0BAF4E,0xC,0x4,651,736,85,1,0x8,0x8,1,1,2039,10249,0.165934244792
1,12288,1,0x588258597E0BAF4E,0xC,0x4,643,743,100,1,0x8,0x8,1,1,2023,10265,0.164632161458
1,12288,2,0x588258597E0BAF4E,0xC,0x5,607,731,124,1,0x9,0x9,1,1,2040,10248,0.166015625000
1,12288,3,0x588258597E0BAF4E,0xC,0x6,617,728,111,1,0xA,0xA,1,1,2010,10278,0.163574218750
1,12288,4,0x588258597E0BAF4E,0xC,0x8,658,729,71,1,0x4,0x4,1,1,2044,10244,0.166341145833
1,12288,5,0x588258597E0BAF4E,0xC,0x0,621,728,107,1,0xC,0xC,1,1,2052,10236,0.166992187500
1,12288,6,0x588258597E0BAF4E,0xC,0x9,632,721,89,1,0x5,0x5,1,1,1994,10294,0.162272135417
1,12288,7,0x588258597E0BAF4E,0xC,0x7,644,734,90,1,0xB,0xB,1,1,2039,10249,0.165934244792
