trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_minimum_words,total_public_outputs,total_internal_ineffective,total_infected,aggregate_empirical_rate,theoretical_rate,absolute_rate_error,mean_minimum_gap,min_minimum_gap,max_minimum_gap
44,3072,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6363C514,0,6,8,24576,4019,20557,0.163533528646,0.164132936375,0.000599407730,11.750000,2,32
44,4096,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,32768,5374,27394,0.164001464844,0.164132936375,0.000131471532,16.750000,1,36
44,6144,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,49152,8043,41109,0.163635253906,0.164132936375,0.000497682469,34.250000,7,58
44,8192,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,65536,10780,54756,0.164489746094,0.164132936375,0.000356809718,46.250000,8,85
44,12288,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,98304,16178,82126,0.164571126302,0.164132936375,0.000438189927,79.625000,39,131
44,16384,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,131072,21629,109443,0.165016174316,0.164132936375,0.000883237941,112.750000,53,151
44,24576,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,196608,32342,164266,0.164499918620,0.164132936375,0.000366982244,182.625000,85,234
44,32768,0x5343454E45565937,0x90A6B8BE78C5525E,BFE91E13D8DFD8E5EE6C,0x3,0x6765C516,0x6765C516,1,8,8,262144,43253,218891,0.164997100830,0.164132936375,0.000864164455,270.625000,160,319
45,512,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x00000000,0,0,5,4096,671,3425,0.163818359375,0.164132936375,0.000314577000,1.600000,1,3
45,1024,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x00000000,0,4,6,8192,1322,6870,0.161376953125,0.164132936375,0.002755983250,8.000000,5,15
45,1536,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x6815CA00,0,5,8,12288,2011,10277,0.163655598958,0.164132936375,0.000477337417,10.125000,2,22
45,2048,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0xA855CAC0,0,7,8,16384,2695,13689,0.164489746094,0.164132936375,0.000356809718,11.250000,3,30
45,3072,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x8855CAC0,0,7,8,24576,4037,20539,0.164265950521,0.164132936375,0.000133014145,19.625000,2,45
45,4096,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x8875EAE0,1,8,8,32768,5397,27371,0.164703369141,0.164132936375,0.000570432765,24.875000,8,46
45,6144,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x8875EAE0,1,8,8,49152,8173,40979,0.166280110677,0.164132936375,0.002147174302,48.750000,20,86
45,8192,0x5343454E45565937,0x0E5703C686B8EA19,2CF1FA10E80D6B8E0AB0,0x0,0x8875EAE0,0x8875EAE0,1,8,8,65536,10914,54622,0.166534423828,0.164132936375,0.002401487453,62.000000,29,105
